RoomID,Type,Capacity
R101,Lecture,150
R102,Lecture,150
R103,Lecture,150
R104,Lecture,150
R105,Lecture,150
R106,Lecture,150
R107,Lecture,150
R108,Lecture,150
R109,Lecture,150
R110,Lecture,150
R111,Lecture,150
R112,Lecture,150
R113,Lecture,150
R114,Lecture,150
T1,TUT,60
T2,TUT,60
T3,TUT,60
T4,TUT,60
T5,TUT,60
T6,TUT,60
T7,TUT,60
T8,TUT,60
T9,TUT,60
T10,TUT,60
T11,TUT,60
T12,TUT,60
T13,TUT,60
T14,TUT,60
T15,TUT,60
T16,TUT,60
T17,TUT,60
T18,TUT,60
T19,TUT,60
T20,TUT,60
L11,Lab,60
L12,Lab,60
L13,Lab,60
L14,Lab,60
L15,Lab,60
L16,Lab,60
L17,Lab,60
L18,Lab,60
L19,Lab,60
L20,Lab,60
L21,Lab,60
L22,Lab,60
L23,Lab,60
L24,Lab,60
L25,Lab,60
L26,Lab,60
L27,Lab,60
L28,Lab,60
L29,Lab,60
L30,Lab,60
L31,Lab,60
L32,Lab,60
L33,Lab,60
L34,Lab,60
L35,Lab,60
L36,Lab,60
L37,Lab,60
L38,Lab,60
L39,Lab,60
L40,Lab,60
L41,Lab,60
L42,Lab,60
